"entrez","ensembl","symbol"
"314","ENSG00000131480","AOC2"
"26","ENSG00000002726","AOC1"
"8639","ENSG00000131471","AOC3"
"1591","ENSG00000019186","CYP24A1"
"1594","ENSG00000111012","CYP27B1"
"10993","ENSG00000135094","SDS"
"6818","ENSG00000261052","SULT1A3"
"89874","ENSG00000183032","SLC25A21"
"3945","ENSG00000111716","LDHB"
"3948","ENSG00000166796","LDHC"
"55293","ENSG00000151116","UEVLD"
"160287","ENSG00000166800","LDHAL6A"
"92483","ENSG00000171989","LDHAL6B"
"3939","ENSG00000134333","LDHA"
"9194","ENSG00000118596","SLC16A7"
"6566","ENSG00000155380","SLC16A1"
"9123","ENSG00000141526","SLC16A3"
"57835","ENSG00000188687","SLC4A5"
"8671","ENSG00000080493","SLC4A4"
"1738","ENSG00000091140","DLD"
"4967","ENSG00000105953","OGDH"
"1743","ENSG00000119689","DLST"
"8050","ENSG00000110435","PDHX"
"128","ENSG00000197894","ADH5"
"137872","ENSG00000147576","ADHFE1"
"130","ENSG00000172955","ADH6"
"127","ENSG00000198099","ADH4"
"131","ENSG00000196344","ADH7"
"126","ENSG00000248144","ADH1C"
"124","ENSG00000187758","ADH1A"
"125","ENSG00000196616","ADH1B"
"1312","ENSG00000093010","COMT"
"117247","ENSG00000112394","SLC16A10"
"220","ENSG00000184254","ALDH1A3"
"221","ENSG00000006534","ALDH3B1"
"218","ENSG00000108602","ALDH3A1"
"222","ENSG00000132746","ALDH3B2"
"3242","ENSG00000158104","HPD"
"18","ENSG00000183044","ABAT"
"2531","ENSG00000119537","KDSR"
"23498","ENSG00000162882","HAAO"
"55268","ENSG00000121310","ECHDC2"
"883","ENSG00000171097","CCBL1"
"51166","ENSG00000109576","AADAT"
"1644","ENSG00000132437","DDC"
"4128","ENSG00000189221","MAOA"
"4129","ENSG00000069535","MAOB"
"8604","ENSG00000115840","SLC25A12"
"10165","ENSG00000004864","SLC25A13"
"2572","ENSG00000136750","GAD2"
"2571","ENSG00000128683","GAD1"
"51380","ENSG00000139631","CSAD"
"2805","ENSG00000120053","GOT1"
"2806","ENSG00000125166","GOT2"
"8659","ENSG00000159423","ALDH4A1"
"6817","ENSG00000196502","SULT1A1"
"6799","ENSG00000197165","SULT1A2"
"6822","ENSG00000105398","SULT2A1"
"6573","ENSG00000173638","SLC19A1"
"316","ENSG00000138356","AOX1"
"6570","ENSG00000036565","SLC18A1"
"6571","ENSG00000165646","SLC18A2"
"2348","ENSG00000110195","FOLR1"
"2352","ENSG00000110203","FOLR3"
"4125","ENSG00000104774","MAN2B1"
"53947","ENSG00000128274","A4GALT"
"51146","ENSG00000118017","A4GNT"
"28","ENSG00000175164","ABO"
"206358","ENSG00000123643","SLC36A1"
"6538","ENSG00000132164","SLC6A11"
"6529","ENSG00000157103","SLC6A1"
"6539","ENSG00000111181","SLC6A12"
"6540","ENSG00000010379","SLC6A13"
"3032","ENSG00000138029","HADHB"
"10449","ENSG00000167315","ACAA2"
"38","ENSG00000075239","ACAT1"
"3030","ENSG00000084754","HADHA"
"39","ENSG00000120437","ACAT2"
"30","ENSG00000060971","ACAA1"
"32","ENSG00000076555","ACACB"
"9197","ENSG00000169359","SLC33A1"
"79611","ENSG00000111058","ACSS3"
"84532","ENSG00000154930","ACSS1"
"64841","ENSG00000100522","GNPNAT1"
"55577","ENSG00000124357","NAGK"
"5238","ENSG00000013375","PGM3"
"9487","ENSG00000108474","PIGL"
"162417","ENSG00000161653","NAGS"
"43","ENSG00000087085","ACHE"
"6572","ENSG00000187714","SLC18A3"
"47","ENSG00000131473","ACLY"
